customer_id,fashion_news,club_member,age
0,1,1,44
1,1,1,33
2,0,0,29
3,0,0,21
4,0,0,23
5,1,1,32
6,0,0,41
7,1,1,42
8,1,1,25
9,0,0,29
10,1,1,53
11,1,1,23
12,0,0,33
13,0,0,26
14,1,1,33
15,0,0,22
16,0,0,32
17,0,0,47
18,0,0,29
19,1,1,47
20,1,1,48
21,1,1,26
22,0,0,17
23,0,0,34
24,0,0,25
25,0,0,21
26,0,0,60
27,1,1,21
28,0,0,49
29,0,0,44
30,0,0,31
31,0,0,40
32,0,0,47
33,0,0,52
34,0,0,24
35,0,0,25
36,0,0,23
37,0,0,31
38,1,1,26
39,0,0,60
40,0,0,39
41,1,1,49
42,1,1,24
43,0,0,32
44,0,0,53
45,1,1,28
46,0,0,28
47,0,0,57
48,1,1,20
49,0,0,55
50,1,1,38
51,0,0,58
52,1,1,28
53,0,0,40
54,1,1,36
55,0,0,37
56,1,1,45
57,0,0,55
58,0,0,25
59,0,0,32
60,0,0,32
61,1,1,24
62,1,1,32
63,0,0,23
64,1,1,26
65,0,0,38
66,0,0,47
67,1,1,27
68,0,0,39
69,1,1,48
70,0,0,27
71,1,1,37
72,1,1,54
73,0,0,46
74,0,0,67
75,1,1,21
76,0,0,50
77,0,0,29
78,0,0,26
79,0,0,29
80,0,0,35
81,0,0,23
82,0,0,18
83,0,0,25
84,0,0,29
85,0,0,18
86,1,1,47
87,0,0,37
88,0,0,28
89,0,0,26
90,0,0,58
91,0,0,27
92,1,1,44
93,0,0,35
94,0,0,54
95,0,0,28
96,0,0,59
97,0,0,28
98,0,0,48
99,0,0,17
100,0,0,49
101,0,0,26
102,0,0,23
103,0,0,38
104,1,1,56
105,1,1,60
106,0,0,28
107,0,0,24
108,0,0,31
109,1,1,27
110,1,1,43
111,0,0,33
112,1,1,30
113,0,0,25
114,0,0,29
115,1,1,28
116,0,0,29
117,1,1,31
118,0,0,21
119,1,1,51
120,1,1,36
121,1,1,26
122,1,1,26
123,0,0,32
124,0,0,28
125,0,0,50
126,0,0,30
127,1,1,25
128,0,0,32
129,1,1,44
130,1,1,24
131,0,0,45
132,1,1,40
133,0,0,25
134,0,0,18
135,0,0,31
136,0,0,32
137,0,0,59
138,1,1,53
139,0,0,44
140,0,0,47
141,0,0,44
142,1,1,22
143,0,0,55
144,1,1,24
145,0,0,33
146,0,0,31
147,0,0,30
148,1,1,29
149,1,1,18
150,0,0,29
151,1,1,20
152,0,0,51
153,0,0,33
154,1,1,29
155,0,0,30
156,0,0,19
157,1,1,61
158,0,0,46
159,0,0,46
160,1,1,37
161,1,1,59
162,0,0,30
163,1,1,22
164,1,1,25
165,0,0,28
166,0,0,25
167,1,1,30
168,1,1,39
169,1,1,44
170,0,0,29
171,1,1,55
172,0,0,30
173,0,0,25
174,1,1,30
175,0,0,27
176,0,0,58
177,1,1,25
178,1,1,31
179,1,1,54
180,0,0,57
181,0,0,42
182,0,0,54
183,0,0,30
184,1,1,46
185,1,1,39
186,1,1,50
187,1,1,33
188,1,1,28
189,0,0,45
190,0,0,25
191,0,0,24
192,1,1,20
193,0,0,20
194,1,1,28
195,0,0,32
196,1,1,19
197,0,0,26
198,1,1,20
199,1,1,26
200,1,1,26
201,0,0,23
202,0,0,21
203,0,0,23
204,0,0,54
205,1,1,38
206,1,1,50
207,1,1,51
208,1,1,29
209,1,1,29
210,0,0,50
211,1,1,33
212,1,1,20
213,0,0,38
214,0,0,19
215,0,0,42
216,0,0,29
217,1,1,29
218,1,1,35
219,0,0,25
220,1,1,27
221,0,0,59
222,1,1,30
223,0,0,51
224,0,0,31
225,0,0,63
226,0,0,50
227,1,1,32
228,1,1,26
229,1,1,24
230,0,0,24
231,1,1,51
232,0,0,51
233,0,0,56
234,1,1,24
235,0,0,40
236,1,1,44
237,0,0,47
238,0,0,30
239,1,1,22
240,0,0,45
241,1,1,51
242,0,0,20
243,0,0,28
244,0,0,67
245,0,0,21
246,1,1,30
247,1,1,24
248,0,0,22
249,0,0,30
250,0,0,42
251,0,0,57
252,0,0,22
253,0,0,31
254,0,0,32
255,0,0,47
256,0,0,46
257,0,0,24
258,1,1,62
